type_crypto,date,close_orig,close_pred_ARIMA
eth,2020-08-25,383.9161564,406.83219079993756
eth,2020-08-26,385.8704239,386.006356881822
eth,2020-08-27,382.8413597,385.4439802076456
eth,2020-08-28,393.9793309,383.1802298507645
eth,2020-08-29,399.0930903,393.2266854698817
eth,2020-08-30,423.1894647,399.00326485135656
eth,2020-08-31,429.8009327,421.6565032024202
eth,2020-09-01,475.9327468,429.83650737019144
eth,2020-09-02,436.4795406,472.88226702252297
eth,2020-09-03,383.0782922,440.198077060346
eth,2020-09-04,385.8447488,386.40988662082975
eth,2020-09-05,331.381125,384.8987291948459
eth,2020-09-06,355.34335,335.4000779441376
eth,2020-09-07,352.2753987,352.81751394997593
eth,2020-09-08,338.9123437,352.9309581374054
eth,2020-09-09,351.9043145,339.87513990115684
eth,2020-09-10,366.5997324,350.81273577095146
eth,2020-09-11,372.2957828,365.8127838666598
eth,2020-09-12,384.2063335,372.19186438183374
eth,2020-09-13,365.278917,383.5236033954861
eth,2020-09-14,376.469186,366.90478874208634
eth,2020-09-15,364.1539288,375.4445861837789
eth,2020-09-16,366.7459343,365.2891347004506
eth,2020-09-17,388.2975068,366.4370517796199
eth,2020-09-18,382.3320588,386.872564412229
eth,2020-09-19,384.7724596,383.1882651379003
eth,2020-09-20,371.930762,384.59161722522015
eth,2020-09-21,341.3871423,372.974117142043
eth,2020-09-22,344.0723331,343.44086349360623
eth,2020-09-23,320.7655631,343.44825243126144
eth,2020-09-24,349.0106763,322.5192273304442
eth,2020-09-25,351.6653381,346.6565861448597
eth,2020-09-26,354.901986,351.9726913695338
eth,2020-09-27,357.0768318,354.76904209625997
eth,2020-09-28,354.7536248,357.03185836705114
eth,2020-09-29,359.5280615,355.01493427762085
eth,2020-09-30,359.3805013,359.2101923555861
eth,2020-10-01,352.9241694,359.52964581068454
eth,2020-10-02,346.0468359,353.4459826275608
eth,2020-10-03,346.3090493,346.4934303929325
eth,2020-10-04,352.2149241,346.23299170587006
eth,2020-10-05,353.8545532,351.8484135263111
eth,2020-10-06,340.661696,353.8865728713149
eth,2020-10-07,341.5076102,341.68653298244305
eth,2020-10-08,350.939677,341.28548139865677
eth,2020-10-09,365.9897107,350.32590833807586
eth,2020-10-10,370.8163998,365.1188208723934
eth,2020-10-11,374.8947875,370.7774405915922
eth,2020-10-12,387.7379872,374.75347069960475
eth,2020-10-13,381.3011055,386.9634378726328
eth,2020-10-14,379.6421773,382.05186701692304
eth,2020-10-15,377.3466437,379.74342786671207
eth,2020-10-16,365.91071,377.5665790363038
eth,2020-10-17,368.8817926,366.7705652350697
eth,2020-10-18,377.9531891,368.55933288404697
eth,2020-10-19,379.9778115,377.4241660163397
eth,2020-10-20,369.0008543,380.05586017090525
eth,2020-10-21,391.922827,369.89796905417086
eth,2020-10-22,413.5170742,390.1866616221446
eth,2020-10-23,409.4000432,412.4290157263289
eth,2020-10-24,412.7276604,410.1462883742096
eth,2020-10-25,406.2957598,412.5354554647439
eth,2020-10-26,393.7343834,406.9197832813045
eth,2020-10-27,403.8421844,394.63654606833126
eth,2020-10-28,389.0131445,403.01855681988036
eth,2020-10-29,386.7351179,390.33400635716407
eth,2020-10-30,383.3572779,386.7551392307061
eth,2020-10-31,386.5634287,383.65037387938804
eth,2020-11-01,395.4853243,386.3661561269762
eth,2020-11-02,384.2017931,394.98635608559727
eth,2020-11-03,387.4128721,385.2427410583669
eth,2020-11-04,401.7740607,387.091834170842
eth,2020-11-05,416.2388245,400.8875349758406
eth,2020-11-06,455.7360053,415.53319072542604
eth,2020-11-07,436.0843601,453.2589987514804
eth,2020-11-08,455.1338985,438.25823772842625
eth,2020-11-09,445.2586159,453.59957864015274
eth,2020-11-10,450.3675942,446.4132957300228
eth,2020-11-11,464.0171975,449.9898634614097
eth,2020-11-12,462.3713098,463.26954589194673
eth,2020-11-13,476.4519769,462.86189232372664
eth,2020-11-14,462.4997491,475.57857177710173
eth,2020-11-15,449.0158391,463.8867748068015
eth,2020-11-16,461.6021804,449.91667408463934
eth,2020-11-17,483.0252202,460.63689060251
eth,2020-11-18,479.7564287,481.8496177156933
eth,2020-11-19,471.6258889,480.5016078816787
eth,2020-11-20,509.8795611,472.3276849976581
eth,2020-11-21,551.38946,507.1865951217636
eth,2020-11-22,561.9821232,549.2267900838817
eth,2020-11-23,608.3606194,562.1156758338631
eth,2020-11-24,603.4184074,605.464529088548
eth,2020-11-25,572.3198091,604.7895253197157
eth,2020-11-26,518.2350995,574.7484051902816
eth,2020-11-27,516.5115898,521.8653575755242
eth,2020-11-28,538.3213695,515.993527608814
eth,2020-11-29,573.8023844,536.9427391726495
eth,2020-11-30,615.5645111,571.8367865856361
eth,2020-12-01,589.8144674,613.3973819011616
eth,2020-12-02,598.3572535,592.603474328005
eth,2020-12-03,616.9048532,597.6155762947832
eth,2020-12-04,571.9783332,615.9943243524473
eth,2020-12-05,595.5485062,575.7728000534241
eth,2020-12-06,601.6972684,593.4162280033981
eth,2020-12-07,592.5922253,601.9042029867362
eth,2020-12-08,556.1577577,593.6203356432399
eth,2020-12-09,573.9958166,558.8891893350385
eth,2020-12-10,560.295982,572.3905209475419
eth,2020-12-11,545.3851771,561.8094199443465
eth,2020-12-12,568.0717246,546.4777968409621
eth,2020-12-13,590.3981597,566.4473128599332
eth,2020-12-14,585.8309267,589.4094945294328
eth,2020-12-15,589.1747101,586.7768085945286
eth,2020-12-16,636.7717497,589.1296577831278
eth,2020-12-17,644.5322716,633.6939917556597
eth,2020-12-18,654.5293223,645.0356765212628
eth,2020-12-19,659.9573483,654.2551188986064
eth,2020-12-20,639.9365818,660.0532260733241
eth,2020-12-21,611.3959516,641.7824961033373
eth,2020-12-22,635.2799925,613.4327336195631
eth,2020-12-23,587.2436861,633.4139018702274
eth,2020-12-24,612.1069739,591.3562916665362
eth,2020-12-25,625.3991196,609.8429168244883
eth,2020-12-26,635.630449,625.1266298360097
eth,2020-12-27,683.8815088,635.406790816868
eth,2020-12-28,731.9853744,680.9039929270631
eth,2020-12-29,732.9438323,729.6576835213936
eth,2020-12-30,753.7521039,734.0232466155612
eth,2020-12-31,744.0374393,752.6753209612513
eth,2021-01-01,730.8685342,745.469838728087
eth,2021-01-02,771.8063807,732.0599056974382
eth,2021-01-03,982.0824628,769.067712809289
eth,2021-01-04,1040.789197,968.1360514166311
eth,2021-01-05,1102.305802,1040.5095128354935
eth,2021-01-06,1207.112289,1099.5005859441883
eth,2021-01-07,1226.270761,1201.3140314582477
eth,2021-01-08,1219.754176,1227.3605644526779
eth,2021-01-09,1284.753113,1221.350855045505
eth,2021-01-10,1263.993464,1280.833433545564
eth,2021-01-11,1091.40173,1267.3768076258261
eth,2021-01-12,1044.332167,1104.2643136265874
eth,2021-01-13,1130.065834,1045.6955192006646
eth,2021-01-14,1220.241033,1123.8707117288277
eth,2021-01-15,1166.958015,1215.8866450827804
eth,2021-01-16,1235.766738,1172.9981158379378
eth,2021-01-17,1234.467925,1230.78971012273
eth,2021-01-18,1260.238661,1236.4727034980663
eth,2021-01-19,1386.980812,1259.2089110053646
eth,2021-01-20,1385.325719,1379.186080382647
eth,2021-01-21,1128.559276,1388.3958078104497
eth,2021-01-22,1237.203403,1147.834454806726
eth,2021-01-23,1231.985489,1226.1523744834526
eth,2021-01-24,1397.406839,1234.8919397079412
eth,2021-01-25,1322.609996,1386.334673597993
eth,2021-01-26,1356.036023,1331.5159560261995
eth,2021-01-27,1250.249615,1353.3787290914133
eth,2021-01-28,1331.961425,1259.2614240702956
eth,2021-01-29,1387.439978,1325.3042432329
eth,2021-01-30,1379.867068,1385.667592768627
eth,2021-01-31,1315.587631,1382.2348043723764
eth,2021-02-01,1373.843459,1321.0097694698024
eth,2021-02-02,1516.837913,1369.5667359045585
eth,2021-02-03,1662.07452,1508.4798118347235
eth,2021-02-04,1593.079725,1655.0089720976393
eth,2021-02-05,1715.445469,1601.478039362845
eth,2021-02-06,1675.289348,1706.7539691422132
eth,2021-02-07,1613.342018,1681.31357914535
eth,2021-02-08,1747.959634,1618.3384810853854
eth,2021-02-09,1767.664449,1738.5180118381008
eth,2021-02-10,1742.19388,1769.629875925748
eth,2021-02-11,1779.925305,1745.6005923193657
eth,2021-02-12,1840.848917,1778.085562667833
eth,2021-02-13,1810.679595,1838.3750817991609
eth,2021-02-14,1804.822143,1815.128594979321
eth,2021-02-15,1778.190188,1806.0787503798956
eth,2021-02-16,1783.388753,1781.3060088953598
eth,2021-02-17,1841.841588,1783.8807859567603
eth,2021-02-18,1924.322707,1839.0316596389237
eth,2021-02-19,1950.338214,1920.6805536291718
eth,2021-02-20,1915.886606,1951.1767935000933
eth,2021-02-21,1928.444381,1920.1809383117675
eth,2021-02-22,1777.266855,1928.4012631034195
eth,2021-02-23,1560.590131,1789.6684276115304
eth,2021-02-24,1624.800425,1574.9728877455937
eth,2021-02-25,1496.222285,1617.9011956661536
eth,2021-02-26,1440.986687,1507.5556300850044
eth,2021-02-27,1465.575895,1443.9458910623598
eth,2021-02-28,1415.204588,1463.9338013978831
eth,2021-03-01,1568.604468,1420.1901893903669
eth,2021-03-02,1490.240623,1557.8116643559172
eth,2021-03-03,1580.236854,1499.3325500075855
eth,2021-03-04,1540.806485,1573.597592081887
eth,2021-03-05,1533.479449,1546.1306603047651
eth,2021-03-06,1657.837505,1534.4458659662498
eth,2021-03-07,1729.839444,1649.8911127762376
eth,2021-03-08,1833.236059,1727.8037956735318
eth,2021-03-09,1865.817802,1828.1964385229153
eth,2021-03-10,1801.122723,1866.4172356118606
eth,2021-03-11,1824.804385,1807.5891675477176
eth,2021-03-12,1768.988477,1823.3746332026842
eth,2021-03-13,1925.332967,1774.644080523827
eth,2021-03-14,1865.143313,1914.5335911544385
eth,2021-03-15,1789.715533,1873.2747297677647
eth,2021-03-16,1797.156958,1795.488511397187
eth,2021-03-17,1819.454703,1796.7045890218567
eth,2021-03-18,1777.959901,1819.2454169218117
eth,2021-03-19,1809.971829,1782.5599160045745
eth,2021-03-20,1811.77,1808.2827968146212
eth,2021-03-21,1785.710084,1813.4186183200793
eth,2021-03-22,1685.692431,1788.876203201544
eth,2021-03-23,1676.195722,1693.6839519411412
eth,2021-03-24,1588.349569,1676.4737425244125
eth,2021-03-25,1588.85293,1595.6371720620043
eth,2021-03-26,1700.770609,1588.5236480057272
eth,2021-03-27,1717.067682,1693.8641127125784
eth,2021-03-28,1689.59,1718.8345302068005
eth,2021-03-29,1821.258443,1692.9985642282277
eth,2021-03-30,1843.018903,1812.5831667272935
